,accuracy,level,L2Norm,RMSerror,grid_points,adaptive,train_data
0,0.0417216058818,4,2.4168212229,0.0922399760154,1519,Level: 4 adaptive: 0,700
0,0.0417216058818,4,2.4168212229,0.0922399760154,1519,Level: 4 adaptive: 1,700
0,0.0241839531437,1,1.96708731453,0.0595513126497,1,Level: 1 adaptive: 0,800
0,0.0241839531437,1,1.96708731453,0.0595513126497,1,Level: 1 adaptive: 1,800
0,0.0062129119194,2,0.997028538761,0.0135016358037,19,Level: 2 adaptive: 0,800
0,0.0062129119194,2,0.997028538761,0.0135016358037,19,Level: 2 adaptive: 1,800
0,0.00581267555529,3,0.964379639378,0.010945522763,199,Level: 3 adaptive: 0,800
0,0.00581267555529,3,0.964379639378,0.010945522763,199,Level: 3 adaptive: 1,800
0,0.0696248160805,4,3.33765944531,0.166346054324,1519,Level: 4 adaptive: 0,800
0,0.0696248160805,4,3.33765944531,0.166346054324,1519,Level: 4 adaptive: 1,800
0,0.0242824099151,1,2.09065391319,0.0673371703164,1,Level: 1 adaptive: 0,900
0,0.0242824099151,1,2.09065391319,0.0673371703164,1,Level: 1 adaptive: 1,900
0,0.00624380435246,2,1.0601343233,0.0143042635099,19,Level: 2 adaptive: 0,900
0,0.00624380435246,2,1.0601343233,0.0143042635099,19,Level: 2 adaptive: 1,900
0,0.00603167593324,3,1.04197008977,0.0116609128723,199,Level: 3 adaptive: 0,900
0,0.00603167593324,3,1.04197008977,0.0116609128723,199,Level: 3 adaptive: 1,900
0,0.0934533775082,4,4.10141535954,0.256490283633,1519,Level: 4 adaptive: 0,900
0,0.0934533775082,4,4.10141535954,0.256490283633,1519,Level: 4 adaptive: 1,900
0,0.0188939084483,1,1.94390886866,0.0341635667302,1,Level: 1 adaptive: 0,1000
0,0.0188939084483,1,1.94390886866,0.0341635667302,1,Level: 1 adaptive: 1,1000
0,0.00467104101965,2,0.966544465573,0.00764416923184,19,Level: 2 adaptive: 0,1000
